store_id,direction,ate,se,t,p,n_events
CA_1,down,0.8869091681095848,0.05096343636579305,17.402852542040968,7.849481647051475e-68,425
CA_1,up,0.40412386906256376,0.04546313515070171,8.889045327009882,6.163618320484053e-19,476
CA_2,down,1.028819233756432,0.058800004181291374,17.49692449994375,1.512170702771914e-68,402
CA_2,up,0.5339418123592182,0.053381921317808466,10.002296642348327,1.489029920674103e-23,410
CA_3,down,0.013504092469150162,0.06144178828768919,0.21978677453071324,0.8260372201957539,489
CA_3,up,0.654978480986356,0.06751040738525427,9.701889032437057,2.9596739415642714e-22,295
CA_4,down,0.7355661934537203,0.04177735764533694,17.606814669759803,2.1839440396275352e-69,433
CA_4,up,0.37289082739067403,0.04023832451519344,9.267056515980817,1.913536430606289e-20,478
TX_1,down,0.572931171719717,0.04522944554480308,12.667216341447006,8.984644879787422e-37,454
TX_1,up,0.5278082528310791,0.053765555920564576,9.816847306682453,9.52766776967421e-23,324
TX_2,down,0.6728779601619703,0.053184981136955724,12.651653639384659,1.0954457634243461e-36,465
TX_2,up,0.5290081243605812,0.05477987623188644,9.656979181940073,4.592050404370508e-22,359
TX_3,down,0.6856349367017436,0.04800869193919052,14.28147506226982,2.854939017034111e-46,510
TX_3,up,0.5489013994527036,0.053230990641301754,10.311688601692351,6.239523934740138e-25,357
WI_1,down,0.7062452988156258,0.04773852654572811,14.794032198273289,1.6007015209605665e-49,435
WI_1,up,0.40194419118882757,0.04539663084261987,8.854053345550678,8.439701856291138e-19,459
WI_2,down,0.7756780868335333,0.04437145346348844,17.481466715346816,1.9833127432647333e-68,478
WI_2,up,0.49576215960212006,0.05023827596782021,9.868216017597362,5.717235061723913e-23,417
WI_3,down,0.8675580208378691,0.055446119402994216,15.646866366467822,3.489857431322676e-55,418
WI_3,up,0.4411413161791654,0.04754481932071221,9.278430804489116,1.7199282370739505e-20,451
