store_id,direction,ate,se,t,p,n_events,pretrend_pass,pretrend_fail_rate,effect_horizon,peak_time,confidence,cooldown_weeks,recommendation_mode,scope
CA_1,down,0.8869091681095848,0.050963436365793,17.402852542040968,7.849481647051475e-68,425,1,0.14285714285714285,8,1,1.0,8,normal,by_direction
CA_1,up,0.4041238690625637,0.0454631351507017,8.889045327009882,6.163618320484053e-19,476,0,0.8571428571428571,8,8,0.8,8,audit_only,by_direction
CA_2,down,1.028819233756432,0.0588000041812913,17.49692449994375,1.512170702771914e-68,402,1,0.0,8,1,1.0,8,normal,by_direction
CA_2,up,0.5339418123592182,0.0533819213178084,10.002296642348329,1.489029920674103e-23,410,0,0.8571428571428571,8,1,0.8,8,audit_only,by_direction
CA_3,down,0.0135040924691501,0.0614417882876891,0.2197867745307132,0.8260372201957539,489,0,1.0,8,8,0.0,8,audit_only,by_direction
CA_3,up,0.654978480986356,0.0675104073852542,9.701889032437055,2.9596739415642714e-22,295,0,1.0,8,1,0.8,8,audit_only,by_direction
CA_4,down,0.7355661934537203,0.0417773576453369,17.606814669759803,2.1839440396275352e-69,433,1,0.0,8,1,1.0,8,normal,by_direction
CA_4,up,0.372890827390674,0.0402383245151934,9.267056515980816,1.913536430606289e-20,478,0,1.0,8,1,0.8,8,audit_only,by_direction
TX_1,down,0.572931171719717,0.045229445544803,12.667216341447006,8.984644879787422e-37,454,1,0.0,8,1,1.0,8,normal,by_direction
TX_1,up,0.5278082528310791,0.0537655559205645,9.816847306682453,9.527667769674211e-23,324,0,1.0,8,1,0.8,8,audit_only,by_direction
TX_2,down,0.6728779601619703,0.0531849811369557,12.65165363938466,1.095445763424346e-36,465,1,0.0,8,1,1.0,8,normal,by_direction
TX_2,up,0.5290081243605812,0.0547798762318864,9.656979181940072,4.592050404370508e-22,359,1,0.14285714285714285,8,1,1.0,8,normal,by_direction
TX_3,down,0.6856349367017436,0.0480086919391905,14.28147506226982,2.854939017034111e-46,510,1,0.0,8,1,1.0,8,normal,by_direction
TX_3,up,0.5489013994527036,0.0532309906413017,10.311688601692351,6.239523934740138e-25,357,0,0.8571428571428571,8,0,0.8,8,audit_only,by_direction
WI_1,down,0.7062452988156258,0.0477385265457281,14.794032198273287,1.6007015209605665e-49,435,1,0.0,8,1,1.0,8,normal,by_direction
WI_1,up,0.4019441911888275,0.0453966308426198,8.854053345550678,8.439701856291138e-19,459,0,0.7142857142857143,8,2,0.8,8,audit_only,by_direction
WI_2,down,0.7756780868335333,0.0443714534634884,17.481466715346816,1.9833127432647333e-68,478,0,0.2857142857142857,8,1,0.8,8,audit_only,by_direction
WI_2,up,0.49576215960212,0.0502382759678202,9.868216017597362,5.717235061723913e-23,417,0,0.8571428571428571,8,2,0.8,8,audit_only,by_direction
WI_3,down,0.8675580208378691,0.0554461194029942,15.646866366467822,3.489857431322676e-55,418,1,0.0,8,1,1.0,8,normal,by_direction
WI_3,up,0.4411413161791654,0.0475448193207122,9.278430804489116,1.7199282370739505e-20,451,0,0.42857142857142855,8,0,0.8,8,audit_only,by_direction
