store_id,ate,se,t,p,n_events,pretrend_pass,pretrend_fail_rate,effect_horizon,peak_time,confidence,cooldown_weeks,recommendation_mode,delta_pct_cut_candidates,delta_pct_raise_candidates,scope
CA_1,0.6316928626080662,0.0349095990630288,18.095105058856507,3.4827922413852785e-73,901,0,0.8571428571428571,8,1,0.8,8,audit_only,"[-0.03,-0.05,-0.08]","[0.02,0.03]",overall
CA_2,0.7793875222901163,0.0406002887286516,19.196600484767064,3.951212583600061e-82,812,0,0.8571428571428571,8,1,0.8,8,audit_only,"[-0.03,-0.05,-0.08]","[0.02,0.03]",overall
CA_3,0.2550956781013298,0.0472734074990667,5.396177081298099,6.807576170553964e-08,784,0,1.0,8,8,0.8,8,audit_only,"[-0.03,-0.05,-0.08]","[0.02,0.03]",overall
CA_4,0.5454291081024982,0.0295851212538564,18.43592606643116,6.76504311342327e-76,911,0,0.5714285714285714,8,1,0.8,8,audit_only,"[-0.03,-0.05,-0.08]","[0.02,0.03]",overall
TX_1,0.5541820969090078,0.0345975974019802,16.017935883527215,9.577721537991548e-58,778,0,0.5714285714285714,8,1,0.8,8,audit_only,"[-0.03,-0.05,-0.08]","[0.02,0.03]",overall
TX_2,0.6102486563550884,0.0384066692586997,15.889132490104078,7.536330892631767e-57,824,1,0.14285714285714285,8,1,1.0,8,normal,"[-0.03,-0.05,-0.08]","[0.02,0.03]",overall
TX_3,0.6292875030329159,0.0358002348552996,17.5777478995996,3.647802635369469e-69,867,1,0.14285714285714285,8,0,1.0,8,normal,"[-0.03,-0.05,-0.08]","[0.02,0.03]",overall
WI_1,0.5502669236202733,0.0332778950443331,16.53550871794032,2.0365158751763814e-61,894,0,0.7142857142857143,8,1,0.8,8,audit_only,"[-0.03,-0.05,-0.08]","[0.02,0.03]",overall
WI_2,0.64559789166159,0.0336092033285057,19.20896146663569,3.1143392922160626e-82,895,0,1.0,8,1,0.8,8,audit_only,"[-0.03,-0.05,-0.08]","[0.02,0.03]",overall
WI_3,0.6468849084877271,0.0370394072492752,17.46477485814477,2.6574752458029634e-68,869,0,0.2857142857142857,8,1,0.8,8,audit_only,"[-0.03,-0.05,-0.08]","[0.02,0.03]",overall
